car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,region,fair_price,deviation_pct,cluster,cluster_name,manipulated,manipulation_prob,dev_bucket
2018 Tata NEXON,XM 1.2,Manual,95230,1st Owner,Petrol,UP-16,650000,UP,569770.0,0.14081120452112256,2,normal,0,0.0,over
2017 Renault Kwid,1.0 RXT Opt,Manual,72956,2nd Owner,Petrol,HR-11,319000,HR,428800.0,-0.2560634328358209,2,normal,0,0.0,deep_under
2017 HYUNDAI ELITE I20,ASTA 1.2 (O),Manual,50636,2nd Owner,Petrol,DL-7C,587000,DL,570900.0,0.02820108600455421,2,normal,0,0.0,fair
2019 Mahindra XUV 3OO,W8(O),Manual,86652,1st Owner,Diesel,DL-12,822000,DL,786500.0,0.04513668150031786,2,normal,0,0.0,fair
2020 Hyundai Creta,1.5 SX (O) AT,Automatic,20235,1st Owner,Petrol,DL-9C,1674000,DL,992300.0,0.6869898216265242,0,overpriced,1,1.0,deep_over
2021 MAHINDRA SCORPIO,S11,Manual,15235,1st Owner,Diesel,UP-32,1731000,UP,1023700.0,0.6909250757057732,0,overpriced,1,1.0,deep_over
2014 Hyundai Verna,FLUIDIC 1.4 VTVT CX,Manual,57937,1st Owner,Petrol,DL-12,501000,DL,477600.0,0.048994974874371856,2,normal,0,0.0,fair
2017 Tata Tiago,XZ PETROL,Manual,50097,1st Owner,Petrol,HR-26,419000,HR,521535.0,-0.1966023373311475,2,normal,0,0.0,under
2019 Maruti Eeco,5 STR WITH A/C+HTR,Manual,15468,1st Owner,Petrol,DL-2C,486000,DL,639500.0,-0.2400312744331509,1,underpriced,0,0.0,deep_under
2015 VOLKSWAGEN POLO,HIGHLINE1.2L PETROL,Manual,64704,2nd Owner,Petrol,DL-3C,495000,DL,489400.0,0.011442582754393135,2,normal,0,0.0,fair
2017 Maruti WAGON R 1.0,LXI,Manual,83279,1st Owner,Petrol,DL-1C,332000,DL,411600.0,-0.1933916423712342,2,normal,0,0.0,under
2018 Maruti ALTO 800,LXI CNG,Manual,95040,1st Owner,CNG,DL-5C,304000,DL,470900.0,-0.35442769165427906,2,normal,1,1.0,deep_under
2022 SKODA KUSHAQ,ACTIVE 1.0 TSI MT,Manual,13624,1st Owner,Petrol,UP-14,1156000,UP,912600.0,0.26671049747972825,0,overpriced,0,0.0,deep_over
2016 Maruti Baleno,DELTA PETROL 1.2,Manual,68018,1st Owner,Petrol,DL-10,499000,DL,524900.0,-0.049342731948942654,2,normal,0,0.0,fair
2020 FORD ECOSPORT,TITANIUM 1.5L DIESEL,Manual,96075,1st Owner,Diesel,DL-3C,789000,DL,786500.0,0.003178639542275906,2,normal,0,0.0,fair
2015 HYUNDAI GRAND I10,SPORTZ 1.2 KAPPA VTVT,Manual,23308,1st Owner,Petrol,DL-8C,396000,DL,537800.0,-0.2636667906284864,1,underpriced,0,0.0,deep_under
2021 Maruti S Cross,SIGMA 1.5 SHVS,Manual,9769,1st Owner,Petrol,DL-7C,879000,DL,646800.0,0.3589981447124304,0,overpriced,1,1.0,deep_over
2014 RENAULT DUSTER,85 PS RXE DIESEL ADVENTURE,Manual,56105,1st Owner,Diesel,DL-1C,388000,DL,778000.0,-0.5012853470437018,2,normal,1,1.0,deep_under
2018 Maruti SWIFT,ZXI+,Manual,28899,1st Owner,Petrol,DL-6C,631000,DL,653725.0,-0.0347623236070213,1,underpriced,0,0.0,fair
2018 Hyundai Verna,1.6 SX VTVT,Manual,25995,2nd Owner,Petrol,DL-8C,822000,DL,595800.0,0.3796576032225579,0,overpriced,1,1.0,deep_over
2021 Maruti SWIFT,LXI,Manual,12982,1st Owner,Petrol,DL-6C,589000,DL,548200.0,0.07442539219263043,1,underpriced,0,0.0,over
2014 HYUNDAI SANTRO XING,GLS,Manual,95604,1st Owner,Petrol,HR-26,247000,HR,504400.0,-0.5103092783505154,2,normal,1,1.0,deep_under
2020 RENAULT KWID,RXL,Manual,8611,1st Owner,Petrol,HR-26,398000,HR,950800.0,-0.5814051325199832,1,underpriced,1,1.0,deep_under
2018 Maruti VITARA BREZZA,ZDI PLUS AMT,Automatic,66354,1st Owner,Diesel,UP-37,840000,UP,893700.0,-0.06008727760993622,2,normal,0,0.0,under
2015 HYUNDAI CRETA,1.6 SX (O) CRDI,Manual,56461,1st Owner,Diesel,DL-8C,765000,DL,778000.0,-0.016709511568123392,2,normal,0,0.0,fair
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,31109,1st Owner,Petrol,DL-3C,428000,DL,453300.0,-0.055812927421133904,1,underpriced,0,0.0,under
2020 Maruti Dzire,LXI,Manual,45565,1st Owner,Petrol,HR-35,552000,HR,555500.0,-0.0063006300630063005,2,normal,0,0.0,fair
2019 Ford FREESTYLE,TREND+ 1.2 TI-VCT,Manual,22989,1st Owner,Petrol,DL-7C,619000,DL,601700.0,0.028751869702509557,1,underpriced,0,0.0,fair
2017 Hyundai New Elantra,2.0 SX AT PETROL,Automatic,3415,1st Owner,Petrol,DL-12,1248000,DL,1061800.0,0.17536259182520247,1,underpriced,0,0.0,over
2020 Tata Tiago,XZ 1.2 REVOTRON,Manual,35863,1st Owner,Petrol,HR-30,504000,HR,643200.0,-0.21641791044776118,1,underpriced,0,0.0,deep_under
2011 Hyundai i20,MAGNA O 1.2,Manual,71274,2nd Owner,Petrol,DL-8C,239000,DL,483800.0,-0.5059942124844977,2,normal,1,1.0,deep_under
2017 Honda City,V CVT,Automatic,81702,2nd Owner,Petrol,DL-1C,734000,DL,650600.0,0.12818936366430986,2,normal,0,0.0,over
2021 HYUNDAI CRETA,S 1.5 PETROL,Manual,24849,1st Owner,Petrol,HR-51,1342000,HR,672300.0,0.9961326788636026,0,overpriced,1,1.0,deep_over
2013 HYUNDAI I20,MAGNA (O) 1.2,Manual,37065,1st Owner,Petrol,DL-3C,353000,DL,538600.0,-0.3445971036019309,1,underpriced,1,1.0,deep_under
2022 Tata TIGOR,XZ CNG,Manual,19474,1st Owner,CNG,DL-7C,806000,DL,679500.0,0.1861662987490802,1,underpriced,0,0.0,over
2019 MG HECTOR,SUPER DIESEL ,Manual,53140,2nd Owner,Diesel,HR-26,1282000,HR,701700.0,0.8269915918483682,0,overpriced,1,1.0,deep_over
2018 Skoda Rapid,1.5 TDI AT AMBITION,Automatic,32244,1st Owner,Diesel,DL-8C,806000,DL,946100.0,-0.14808159813973154,1,underpriced,0,0.0,under
2015 HYUNDAI ELITE I20,SPORTZ 1.2,Manual,32762,1st Owner,Petrol,DL-1C,544000,DL,573700.0,-0.051769217360990064,1,underpriced,0,0.0,under
