car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price
2018 Tata NEXON,XM 1.2,Manual,"95,230 km",1st Owner,Petrol,UP-16,"₹6,50,000"
2017 Renault Kwid,1.0 RXT Opt,Manual,"72,956 km",2nd Owner,Petrol,HR-11,"₹3,19,000"
2017 HYUNDAI ELITE I20,ASTA 1.2 (O),Manual,"50,636 km",2nd Owner,Petrol,DL-7C,"₹5,87,000"
2019 Mahindra XUV 3OO,W8(O),Manual,"86,652 km",1st Owner,Diesel,DL-12,"₹8,22,000"
2020 Hyundai Creta,1.5 SX (O) AT,Automatic,"20,235 km",1st Owner,Petrol,DL-9C,"₹16,74,000"
2021 MAHINDRA SCORPIO,S11,Manual,"15,235 km",1st Owner,Diesel,UP-32,"₹17,31,000"
2014 Hyundai Verna,FLUIDIC 1.4 VTVT CX,Manual,"57,937 km",1st Owner,Petrol,DL-12,"₹5,01,000"
2017 Tata Tiago,XZ PETROL,Manual,"50,097 km",1st Owner,Petrol,HR-26,"₹4,19,000"
2019 Maruti Eeco,5 STR WITH A/C+HTR,Manual,"15,468 km",1st Owner,Petrol,DL-2C,"₹4,86,000"
2015 VOLKSWAGEN POLO,HIGHLINE1.2L PETROL,Manual,"64,704 km",2nd Owner,Petrol,DL-3C,"₹4,95,000"
2017 Maruti WAGON R 1.0,LXI,Manual,"83,279 km",1st Owner,Petrol,DL-1C,"₹3,32,000"
2018 Maruti ALTO 800,LXI CNG,Manual,"95,040 km",1st Owner,CNG,DL-5C,"₹3,04,000"
2022 SKODA KUSHAQ,ACTIVE 1.0 TSI MT,Manual,"13,624 km",1st Owner,Petrol,UP-14,"₹11,56,000"
2016 Maruti Baleno,DELTA PETROL 1.2,Manual,"68,018 km",1st Owner,Petrol,DL-10,"₹4,99,000"
2020 FORD ECOSPORT,TITANIUM 1.5L DIESEL,Manual,"96,075 km",1st Owner,Diesel,DL-3C,"₹7,89,000"
2015 HYUNDAI GRAND I10,SPORTZ 1.2 KAPPA VTVT,Manual,"23,308 km",1st Owner,Petrol,DL-8C,"₹3,96,000"
2021 Maruti S Cross,SIGMA 1.5 SHVS,Manual,"9,769 km",1st Owner,Petrol,DL-7C,"₹8,79,000"
2014 RENAULT DUSTER,85 PS RXE DIESEL ADVENTURE,Manual,"56,105 km",1st Owner,Diesel,DL-1C,"₹3,88,000"
2018 Maruti SWIFT,ZXI+,Manual,"28,899 km",1st Owner,Petrol,DL-6C,"₹6,31,000"
2018 Hyundai Verna,1.6 SX VTVT,Manual,"25,995 km",2nd Owner,Petrol,DL-8C,"₹8,22,000"
2021 Maruti SWIFT,LXI,Manual,"12,982 km",1st Owner,Petrol,DL-6C,"₹5,89,000"
2014 HYUNDAI SANTRO XING,GLS,Manual,"95,604 km",1st Owner,Petrol,HR-26,"₹2,47,000"
2020 RENAULT KWID,RXL,Manual,"8,611 km",1st Owner,Petrol,HR-26,"₹3,98,000"
2018 Maruti VITARA BREZZA,ZDI PLUS AMT,Automatic,"66,354 km",1st Owner,Diesel,UP-37,"₹8,40,000"
2015 HYUNDAI CRETA,1.6 SX (O) CRDI,Manual,"56,461 km",1st Owner,Diesel,DL-8C,"₹7,65,000"
2016 Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,"31,109 km",1st Owner,Petrol,DL-3C,"₹4,28,000"
2020 Maruti Dzire,LXI,Manual,"45,565 km",1st Owner,Petrol,HR-35,"₹5,52,000"
2019 Ford FREESTYLE,TREND+ 1.2 TI-VCT,Manual,"22,989 km",1st Owner,Petrol,DL-7C,"₹6,19,000"
2017 Hyundai New Elantra,2.0 SX AT PETROL,Automatic,"3,415 km",1st Owner,Petrol,DL-12,"₹12,48,000"
2020 Tata Tiago,XZ 1.2 REVOTRON,Manual,"35,863 km",1st Owner,Petrol,HR-30,"₹5,04,000"
